,u,i,ts,label,idx
0,1,825,0.0,0,1
1,2,217,2797.0,0,2
2,2,73,3304.0,0,3
3,3,153,4523.0,0,4
4,3,333,7926.0,0,5
5,3,153,8061.0,0,6
6,4,224,19403.0,0,7
7,5,160,19560.0,0,8
8,6,50,21077.0,0,9
9,6,48,21280.0,0,10
10,7,230,21793.0,0,11
11,8,54,21799.0,0,12
12,6,31,22038.0,0,13
13,9,34,23175.0,0,14
14,9,33,23263.0,0,15
15,10,53,23553.0,0,16
16,10,186,23553.0,0,17
17,10,232,23553.0,0,18
18,10,202,23553.0,0,19
19,10,307,23553.0,0,20
20,10,154,23553.0,0,21
21,10,447,23553.0,0,22
22,10,322,23553.0,0,23
23,10,128,23553.0,0,24
24,10,480,23553.0,0,25
25,10,99,23553.0,0,26
26,10,384,23553.0,0,27
27,10,330,23553.0,0,28
28,10,248,23553.0,0,29
29,10,276,23553.0,0,30
30,10,433,23553.0,0,31
31,10,82,23553.0,0,32
32,11,23,23646.0,0,33
33,12,181,23652.0,0,34
34,13,126,23712.0,0,35
35,14,101,23813.0,0,36
36,15,222,24004.0,0,37
37,11,41,24076.0,0,38
38,16,419,24275.0,0,39
39,17,349,24522.0,0,40
40,17,166,24522.0,0,41
41,17,55,24522.0,0,42
42,17,198,24522.0,0,43
43,17,215,24522.0,0,44
44,18,95,24710.0,0,45
45,19,174,25325.0,0,46
46,20,259,25424.0,0,47
47,19,73,25431.0,0,48
48,21,429,25503.0,0,49
49,22,133,25597.0,0,50
50,21,429,25608.0,0,51
51,23,11,25654.0,0,52
52,24,26,25656.0,0,53
53,25,34,25811.0,0,54
54,26,24,25870.0,0,55
55,27,106,25991.0,0,56
56,26,24,25991.0,0,57
57,28,46,26225.0,0,58
58,28,101,26225.0,0,59
59,29,826,26272.0,0,60
60,29,288,26402.0,0,61
61,29,288,26484.0,0,62
62,30,83,26872.0,0,63
63,30,22,26872.0,0,64
64,31,19,27094.0,0,65
65,11,41,27119.0,0,66
66,32,64,27133.0,0,67
67,33,34,27145.0,0,68
68,32,76,27176.0,0,69
69,34,25,27187.0,0,70
70,11,23,27235.0,0,71
71,11,247,27235.0,0,72
72,11,176,27235.0,0,73
73,11,227,27235.0,0,74
74,32,176,27254.0,0,75
75,35,38,27343.0,0,76
76,36,280,27362.0,0,77
77,37,9,27408.0,0,78
78,11,201,27492.0,0,79
79,11,310,27492.0,0,80
80,11,462,27492.0,0,81
81,11,23,27492.0,0,82
82,11,247,27492.0,0,83
83,11,41,27492.0,0,84
84,11,227,27492.0,0,85
85,38,103,27598.0,0,86
86,38,35,27598.0,0,87
87,39,105,27689.0,0,88
88,39,392,27689.0,0,89
89,39,108,27689.0,0,90
90,39,469,27689.0,0,91
91,39,152,27689.0,0,92
92,40,304,27718.0,0,93
93,40,304,27822.0,0,94
94,41,11,28102.0,0,95
95,32,187,28137.0,0,96
96,32,64,28137.0,0,97
97,32,76,28137.0,0,98
98,36,91,28150.0,0,99
99,19,262,28193.0,0,100
100,42,466,28260.0,0,101
101,42,693,28260.0,0,102
102,42,562,28260.0,0,103
103,42,21,28260.0,0,104
104,42,468,28260.0,0,105
105,43,169,28326.0,0,106
106,44,189,28393.0,0,107
107,45,234,28544.0,0,108
108,46,757,28555.0,0,109
109,8,482,28632.0,0,110
110,32,312,28784.0,0,111
111,32,187,28784.0,0,112
112,32,64,28784.0,0,113
113,32,76,28784.0,0,114
114,32,176,28784.0,0,115
115,47,80,28792.0,0,116
116,48,6,29181.0,0,117
117,49,404,29445.0,0,118
118,50,286,29586.0,0,119
119,51,827,29670.0,0,120
120,51,89,29670.0,0,121
121,51,313,29670.0,0,122
122,52,212,29693.0,0,123
123,53,276,29736.0,0,124
124,53,128,29736.0,0,125
125,33,34,29768.0,0,126
126,54,74,29824.0,0,127
127,55,198,29864.0,0,128
128,55,17,29864.0,0,129
129,55,349,29864.0,0,130
130,56,153,29871.0,0,131
131,44,19,29928.0,0,132
132,57,148,29929.0,0,133
133,58,243,29998.0,0,134
134,33,9,30000.0,0,135
135,59,251,30009.0,0,136
136,60,171,30072.0,0,137
137,61,41,30076.0,0,138
138,61,74,30076.0,0,139
139,62,184,30105.0,0,140
140,38,35,30114.0,0,141
141,62,184,30153.0,0,142
142,63,142,30274.0,0,143
143,64,32,30276.0,0,144
144,65,218,30281.0,0,145
145,66,40,30392.0,0,146
146,15,76,30463.0,0,147
147,67,330,30470.0,0,148
148,68,69,30512.0,0,149
149,69,68,30668.0,0,150
150,70,100,30698.0,0,151
151,6,50,30809.0,0,152
152,71,205,30899.0,0,153
153,59,7,30932.0,0,154
154,72,393,30953.0,0,155
155,73,2,30970.0,0,156
156,73,217,30970.0,0,157
157,74,54,30981.0,0,158
158,6,48,31082.0,0,159
159,10,186,31085.0,0,160
160,10,154,31085.0,0,161
161,10,128,31085.0,0,162
162,75,460,31232.0,0,163
163,76,135,31258.0,0,164
164,76,222,31258.0,0,165
165,76,15,31258.0,0,166
166,76,26,31258.0,0,167
167,76,26,31286.0,0,168
168,76,15,31286.0,0,169
169,76,135,31286.0,0,170
170,76,222,31286.0,0,171
171,19,262,31307.0,0,172
172,25,512,31335.0,0,173
173,25,512,31347.0,0,174
174,77,59,31377.0,0,175
175,46,757,31435.0,0,176
176,78,289,31461.0,0,177
177,79,325,31471.0,0,178
178,80,47,31491.0,0,179
179,81,195,31576.0,0,180
180,81,44,31576.0,0,181
181,53,283,31652.0,0,182
182,64,32,31682.0,0,183
183,80,40,31721.0,0,184
184,80,216,31721.0,0,185
185,80,95,31721.0,0,186
186,82,103,31773.0,0,187
187,83,30,31940.0,0,188
188,84,34,32006.0,0,189
189,85,115,32126.0,0,190
190,86,261,32180.0,0,191
191,86,191,32180.0,0,192
192,47,240,32305.0,0,193
193,34,33,32636.0,0,194
194,87,827,32748.0,0,195
195,12,181,32765.0,0,196
196,88,489,32901.0,0,197
197,89,120,32914.0,0,198
198,88,240,32993.0,0,199
199,42,21,33017.0,0,200
200,90,16,33058.0,0,201
201,24,318,33082.0,0,202
202,91,188,33127.0,0,203
203,58,115,33315.0,0,204
204,58,85,33315.0,0,205
205,92,137,33352.0,0,206
206,42,196,33375.0,0,207
207,93,205,33383.0,0,208
208,21,429,33408.0,0,209
209,94,2,33417.0,0,210
210,94,193,33417.0,0,211
211,94,173,33417.0,0,212
212,94,481,33417.0,0,213
213,11,270,33424.0,0,214
214,11,310,33424.0,0,215
215,11,201,33424.0,0,216
216,11,334,33424.0,0,217
217,11,605,33424.0,0,218
218,11,446,33424.0,0,219
219,11,828,33424.0,0,220
220,11,676,33424.0,0,221
221,11,214,33424.0,0,222
222,11,79,33424.0,0,223
223,11,479,33424.0,0,224
224,11,316,33424.0,0,225
225,11,328,33424.0,0,226
226,11,367,33424.0,0,227
227,11,41,33424.0,0,228
